"grid","D","K"
"0000-0001-1000-0101",8.60290110388122e-10,30.1144576957573
"0000-0001-1000-0110",5.66794533267699e-09,27.3945270104544
"0000-0001-1000-0111",5.72094355792567e-10,30.7030278378705
"0000-0001-1000-1000",1.13295881737028e-08,26.3953293384131
"0000-0001-1000-1001",1.26880616014285e-09,29.5538811734292
"0000-0001-1000-1010",1.11124386886298e-09,29.7451773947831
"0000-0001-1000-1011",2.53818527407218e-10,31.8754835667595
"0000-0001-1000-1100",5.27060188175846e-09,27.4993851326843
"0000-0001-1000-1101",3.39074050834293e-09,28.1357524741206
"0000-0001-1000-1110",1.22468871858449e-09,29.6049377506539
"0000-0001-1000-1111",4.81567657529948e-10,30.9515424460783
"0000-0001-1001-0000",1.29602146500029e-09,29.5232632413247
"0000-0001-1001-0001",5.31987590739508e-10,30.8078883553791
"0000-0001-1001-0010",2.48346818746408e-09,28.5849965876145
"0000-0001-1001-0011",5.64073002781955e-10,30.7233990594129
"0000-0001-1001-0100",5.27289369690435e-09,27.4987579421338
"0000-0001-1001-0101",4.153914951924e-10,31.1648092704122
"0000-0001-1001-0110",2.65306250825987e-09,28.4896941869782
"0000-0001-1001-0111",3.00800737897945e-10,31.630472842761
"0000-0001-1001-1000",1.06397518147902e-09,29.8078883553791
"0000-0001-1001-1001",1.33670118383982e-09,29.4786758633303
"0000-0001-1001-1010",1.68620299358791e-09,29.1435746283741
"0000-0001-1001-1011",1.37623499510641e-09,29.4366260196089
"0000-0001-1001-1100",1.40917983782856e-09,29.4024971155912
"0000-0001-1001-1101",9.58265207874881e-10,29.9588559597857
"0000-0001-1001-1110",9.0268869058707e-10,30.0450524162969
"0000-0001-1001-1111",1.02530080089214e-09,29.8613056268981
"0000-0001-1010-0000",1.2658268004532e-08,26.2353447407633
"0000-0001-1010-0001",1.70453751475502e-09,29.1279725022318
"0000-0001-1010-0010",5.51840439440772e-09,27.4331016712296
"0000-0001-1010-0011",7.45126399307194e-10,30.3217957713715
"0000-0001-1010-0100",1.5990853703548e-08,25.8981777970788
"0000-0001-1010-0101",9.86912897198495e-10,29.9163581877228
"0000-0001-1010-0110",3.89035621014675e-09,27.9374505961824
"0000-0001-1010-0111",7.02727819108246e-10,30.4063149367569
"0000-0001-1010-1000",1.14009209201186e-08,26.3862743949521
"0000-0001-1010-1001",5.01048086270005e-10,30.8943318813928
"0000-0001-1010-1010",1.57390405143934e-09,29.2430052602386
"0000-0001-1010-1011",2.02539163517949e-10,32.2010800505051
"0000-0001-1010-1100",6.07588842864525e-09,27.2942574760683
"0000-0001-1010-1101",1.20148409023236e-09,29.6325353092179
"0000-0001-1010-1110",6.63480484734895e-10,30.4892269173252
"0000-0001-1010-1111",3.3746978023217e-10,31.464522631484
"0000-0001-1011-0000",1.24846630072309e-09,29.5771959741986
"0000-0001-1011-0001",9.18158442821822e-10,30.0205378138084
"0000-0001-1011-0010",2.44823152959603e-09,28.6056128536334
"0000-0001-1011-0011",5.76677986084345e-10,30.6915149983931
"0000-0001-1011-0100",4.54982601837634e-09,27.7115414750979
"0000-0001-1011-0101",3.85884375189078e-10,31.2711123198522
